review_id,order_id,product_id,customer_id,score,comment,created_at
REV-000001,ORD-000001,PROD-065,CUST-0213,5,Five stars — nothing to complain about.,2023-09-28T19:56:20.610046153
REV-000002,ORD-000002,PROD-080,CUST-0038,4,Happy with the purchase overall.,2025-03-25T09:47:52.905873402
REV-000003,ORD-000005,PROD-027,CUST-0298,5,Excellent product! Highly recommend.,2023-08-28T14:45:40.530342258
REV-000004,ORD-000006,PROD-030,CUST-0167,5,Five stars — nothing to complain about.,2025-06-17T20:13:24.304928564
REV-000005,ORD-000011,PROD-064,CUST-0251,5,Absolutely love it! Fast shipping too.,2023-07-13T20:01:33.875922417
REV-000006,ORD-000013,PROD-045,CUST-0077,5,Absolutely love it! Fast shipping too.,2024-07-25T02:07:01.029575888
REV-000007,ORD-000014,PROD-025,CUST-0158,5,Five stars — nothing to complain about.,2024-01-03T04:18:03.894588269
REV-000008,ORD-000020,PROD-075,CUST-0049,4,Would recommend to others.,2024-09-12T03:33:11.500917357
REV-000009,ORD-000021,PROD-056,CUST-0289,5,Perfect quality for the price.,2023-08-28T09:33:44.035231453
REV-000010,ORD-000025,PROD-039,CUST-0156,2,Would not buy again.,2023-04-11T12:58:18.688222418
REV-000011,ORD-000026,PROD-057,CUST-0161,4,"Solid product, minor packaging issue.",2024-12-20T01:32:14.866752323
REV-000012,ORD-000029,PROD-070,CUST-0062,5,Exceeded my expectations. Will buy again.,2024-02-11T19:13:30.178263593
REV-000013,ORD-000031,PROD-042,CUST-0216,5,Perfect quality for the price.,2025-04-18T21:25:31.048277600
REV-000014,ORD-000032,PROD-091,CUST-0188,4,Would recommend to others.,2023-10-31T22:41:12.285439488
REV-000015,ORD-000035,PROD-097,CUST-0060,4,Great value for money.,2023-11-07T06:41:59.838237097
REV-000016,ORD-000036,PROD-040,CUST-0231,5,Exceeded my expectations. Will buy again.,2023-05-08T02:07:57.459993589
REV-000017,ORD-000038,PROD-044,CUST-0219,4,"Good quality, works as described.",2023-08-25T20:31:09.752035721
REV-000018,ORD-000040,PROD-082,CUST-0144,5,Excellent product! Highly recommend.,2023-07-11T21:45:59.885217921
REV-000019,ORD-000041,PROD-027,CUST-0157,4,Happy with the purchase overall.,2023-02-28T00:51:15.745914253
REV-000020,ORD-000042,PROD-053,CUST-0039,4,Great value for money.,2023-02-22T11:16:32.383801110
REV-000021,ORD-000043,PROD-022,CUST-0288,4,Great value for money.,2023-08-31T00:29:31.054705676
REV-000022,ORD-000044,PROD-062,CUST-0266,5,Excellent product! Highly recommend.,2023-04-11T20:55:50.004575036
REV-000023,ORD-000050,PROD-031,CUST-0223,4,Would recommend to others.,2024-07-19T02:44:23.991696207
REV-000024,ORD-000052,PROD-004,CUST-0033,5,Five stars — nothing to complain about.,2025-02-16T17:05:50.307602477
REV-000025,ORD-000053,PROD-099,CUST-0221,4,Happy with the purchase overall.,2024-11-04T04:47:57.415487385
REV-000026,ORD-000054,PROD-029,CUST-0251,2,Expected better for this price.,2024-01-18T01:43:44.436984566
REV-000027,ORD-000056,PROD-042,CUST-0123,5,Absolutely love it! Fast shipping too.,2023-05-01T00:57:06.180719956
REV-000028,ORD-000058,PROD-061,CUST-0186,5,Absolutely love it! Fast shipping too.,2023-06-27T11:46:57.521173135
REV-000029,ORD-000059,PROD-081,CUST-0135,4,Great value for money.,2023-06-27T13:09:03.670555072
REV-000030,ORD-000060,PROD-048,CUST-0041,4,Great value for money.,2025-02-01T21:13:34.580708492
REV-000031,ORD-000061,PROD-045,CUST-0102,4,"Good quality, works as described.",2024-05-06T13:29:44.132453140
REV-000032,ORD-000062,PROD-088,CUST-0100,5,Exceeded my expectations. Will buy again.,2023-08-18T08:27:04.771441609
REV-000033,ORD-000065,PROD-097,CUST-0159,3,Decent product but room for improvement.,2024-01-03T06:34:07.981810867
REV-000034,ORD-000066,PROD-095,CUST-0109,4,"Good quality, works as described.",2023-05-08T19:42:13.408018055
REV-000035,ORD-000070,PROD-052,CUST-0115,4,Happy with the purchase overall.,2023-04-24T15:40:02.389681216
REV-000036,ORD-000078,PROD-006,CUST-0192,4,Would recommend to others.,2024-12-06T17:53:48.625441950
REV-000037,ORD-000079,PROD-007,CUST-0278,2,Expected better for this price.,2024-05-05T09:24:30.543493959
REV-000038,ORD-000081,PROD-082,CUST-0085,3,Mixed feelings — pros and cons.,2025-02-15T17:59:40.061290314
REV-000039,ORD-000084,PROD-081,CUST-0195,4,Great value for money.,2023-10-14T19:32:40.207263567
REV-000040,ORD-000085,PROD-067,CUST-0139,5,Exceeded my expectations. Will buy again.,2023-09-27T18:16:16.594032173
REV-000041,ORD-000086,PROD-001,CUST-0022,4,"Good quality, works as described.",2024-03-01T09:37:42.392936368
REV-000042,ORD-000087,PROD-076,CUST-0103,5,Five stars — nothing to complain about.,2024-06-02T10:22:20.512087574
REV-000043,ORD-000089,PROD-085,CUST-0135,5,Perfect quality for the price.,2023-10-10T11:46:02.064717600
REV-000044,ORD-000092,PROD-076,CUST-0215,5,Five stars — nothing to complain about.,2023-12-12T07:53:28.362499579
REV-000045,ORD-000093,PROD-033,CUST-0121,4,Would recommend to others.,2025-03-15T08:43:49.664369374
REV-000046,ORD-000095,PROD-093,CUST-0126,1,"Terrible product, returning immediately.",2023-06-25T07:35:21.892163296
REV-000047,ORD-000098,PROD-067,CUST-0040,4,Happy with the purchase overall.,2024-08-30T00:55:21.577988310
REV-000048,ORD-000099,PROD-064,CUST-0006,3,Average quality. Does the job.,2025-03-06T08:51:54.497057706
REV-000049,ORD-000102,PROD-034,CUST-0262,1,"Terrible product, returning immediately.",2023-09-19T11:14:39.354485078
REV-000050,ORD-000104,PROD-061,CUST-0223,3,Meets basic expectations.,2023-07-04T16:46:17.208075548
REV-000051,ORD-000105,PROD-048,CUST-0211,4,Happy with the purchase overall.,2024-11-30T06:37:47.070437182
REV-000052,ORD-000106,PROD-007,CUST-0224,5,Excellent product! Highly recommend.,2023-08-30T06:27:55.700701662
REV-000053,ORD-000108,PROD-003,CUST-0133,5,Absolutely love it! Fast shipping too.,2024-09-15T11:52:57.514249936
REV-000054,ORD-000109,PROD-009,CUST-0121,3,Average quality. Does the job.,2024-09-16T09:29:18.205059457
REV-000055,ORD-000111,PROD-098,CUST-0257,5,Five stars — nothing to complain about.,2023-11-02T17:06:02.265028225
REV-000056,ORD-000116,PROD-087,CUST-0070,4,Great value for money.,2024-11-06T14:50:09.040224117
REV-000057,ORD-000117,PROD-072,CUST-0137,5,Exceeded my expectations. Will buy again.,2024-09-18T23:45:54.777623206
REV-000058,ORD-000120,PROD-002,CUST-0198,5,Five stars — nothing to complain about.,2024-12-23T02:43:34.823935197
REV-000059,ORD-000122,PROD-001,CUST-0137,5,Perfect quality for the price.,2024-12-27T08:47:50.824353769
REV-000060,ORD-000123,PROD-058,CUST-0042,4,Great value for money.,2024-09-13T01:16:32.412773048
REV-000061,ORD-000126,PROD-083,CUST-0121,4,Happy with the purchase overall.,2024-07-16T02:24:56.732488073
REV-000062,ORD-000127,PROD-065,CUST-0295,4,"Solid product, minor packaging issue.",2024-08-05T00:09:52.034484988
REV-000063,ORD-000128,PROD-088,CUST-0177,4,"Solid product, minor packaging issue.",2024-11-30T22:25:03.737422195
REV-000064,ORD-000129,PROD-005,CUST-0266,5,Perfect quality for the price.,2023-07-26T12:58:40.623646272
REV-000065,ORD-000131,PROD-015,CUST-0128,3,Average quality. Does the job.,2024-03-25T10:22:19.523449
REV-000066,ORD-000132,PROD-059,CUST-0089,4,Great value for money.,2024-08-31T06:13:07.999369079
REV-000067,ORD-000133,PROD-084,CUST-0298,4,Happy with the purchase overall.,2023-02-19T16:04:04.614724299
REV-000068,ORD-000134,PROD-016,CUST-0032,3,Average quality. Does the job.,2023-03-30T15:17:17.802611964
REV-000069,ORD-000135,PROD-043,CUST-0293,3,Average quality. Does the job.,2023-10-20T09:31:53.638504671
REV-000070,ORD-000136,PROD-025,CUST-0054,5,Absolutely love it! Fast shipping too.,2024-01-13T15:42:40.930524390
REV-000071,ORD-000139,PROD-034,CUST-0125,4,Would recommend to others.,2024-01-12T12:35:03.197733129
REV-000072,ORD-000140,PROD-095,CUST-0215,3,Meets basic expectations.,2024-12-18T21:56:17.804769202
REV-000073,ORD-000142,PROD-030,CUST-0275,5,Perfect quality for the price.,2023-04-21T03:45:44.797156249
REV-000074,ORD-000148,PROD-069,CUST-0166,5,Five stars — nothing to complain about.,2024-05-19T10:23:43.383014831
REV-000075,ORD-000150,PROD-064,CUST-0177,1,Arrived damaged and unusable.,2023-09-11T22:03:20.026271604
REV-000076,ORD-000151,PROD-093,CUST-0152,5,Perfect quality for the price.,2024-05-08T18:39:55.368154490
REV-000077,ORD-000152,PROD-011,CUST-0093,4,"Good quality, works as described.",2023-11-25T14:09:22.369452785
REV-000078,ORD-000153,PROD-012,CUST-0063,4,Great value for money.,2024-08-16T20:53:57.303969718
REV-000079,ORD-000154,PROD-054,CUST-0228,5,Exceeded my expectations. Will buy again.,2023-04-02T08:24:00.749081224
REV-000080,ORD-000155,PROD-070,CUST-0053,2,Not quite as described.,2023-03-01T20:42:07.380652757
REV-000081,ORD-000162,PROD-005,CUST-0116,2,Had some issues but usable.,2025-01-04T15:38:57.267426308
REV-000082,ORD-000163,PROD-099,CUST-0008,4,Would recommend to others.,2024-04-27T05:41:39.163232635
REV-000083,ORD-000167,PROD-006,CUST-0082,4,Happy with the purchase overall.,2023-05-08T02:11:34.633058257
REV-000084,ORD-000169,PROD-069,CUST-0020,2,Had some issues but usable.,2023-12-08T16:19:34.913836345
REV-000085,ORD-000172,PROD-027,CUST-0250,2,Had some issues but usable.,2024-03-08T23:07:29.644902202
REV-000086,ORD-000173,PROD-060,CUST-0018,4,"Solid product, minor packaging issue.",2023-11-02T01:05:45.569237162
REV-000087,ORD-000174,PROD-037,CUST-0140,5,Five stars — nothing to complain about.,2023-06-26T15:16:06.518734882
REV-000088,ORD-000175,PROD-001,CUST-0065,5,Five stars — nothing to complain about.,2025-03-08T06:27:42.527113594
REV-000089,ORD-000177,PROD-001,CUST-0041,5,Five stars — nothing to complain about.,2024-08-17T03:42:08.368411951
REV-000090,ORD-000178,PROD-013,CUST-0104,5,Perfect quality for the price.,2023-11-20T04:43:14.559671852
REV-000091,ORD-000179,PROD-015,CUST-0108,5,Excellent product! Highly recommend.,2023-11-01T09:29:35.202014739
REV-000092,ORD-000180,PROD-086,CUST-0126,5,Perfect quality for the price.,2023-07-11T03:57:58.685230147
REV-000093,ORD-000181,PROD-065,CUST-0279,4,"Good quality, works as described.",2024-09-24T21:03:37.993129756
REV-000094,ORD-000182,PROD-063,CUST-0016,3,Decent product but room for improvement.,2023-05-04T02:05:35.249053123
REV-000095,ORD-000184,PROD-062,CUST-0032,4,Great value for money.,2025-01-04T12:00:18.600623145
REV-000096,ORD-000185,PROD-059,CUST-0300,5,Five stars — nothing to complain about.,2024-02-21T14:28:52.177868747
REV-000097,ORD-000187,PROD-064,CUST-0174,5,Five stars — nothing to complain about.,2025-04-17T04:33:14.647550664
REV-000098,ORD-000188,PROD-070,CUST-0241,5,Five stars — nothing to complain about.,2025-05-19T12:40:08.633079478
REV-000099,ORD-000190,PROD-037,CUST-0242,4,"Good quality, works as described.",2024-01-02T16:31:24.861601644
REV-000100,ORD-000191,PROD-050,CUST-0039,5,Excellent product! Highly recommend.,2024-08-25T06:41:08.242353812
REV-000101,ORD-000194,PROD-037,CUST-0132,5,Five stars — nothing to complain about.,2024-02-10T11:10:21.383358670
REV-000102,ORD-000197,PROD-031,CUST-0171,3,"Okay for the price, not exceptional.",2023-12-10T02:06:17.456591279
REV-000103,ORD-000202,PROD-042,CUST-0228,3,Decent product but room for improvement.,2024-11-24T08:16:11.763687585
REV-000104,ORD-000203,PROD-048,CUST-0249,4,Great value for money.,2025-06-01T10:10:36.092341291
REV-000105,ORD-000204,PROD-008,CUST-0032,4,Happy with the purchase overall.,2024-08-24T15:30:17.700689719
REV-000106,ORD-000207,PROD-040,CUST-0012,4,Great value for money.,2025-04-14T16:28:41.349624432
REV-000107,ORD-000208,PROD-074,CUST-0025,5,Excellent product! Highly recommend.,2023-01-26T06:35:10.937557538
REV-000108,ORD-000209,PROD-046,CUST-0256,5,Exceeded my expectations. Will buy again.,2023-08-21T14:32:52.842438776
REV-000109,ORD-000212,PROD-093,CUST-0256,5,Exceeded my expectations. Will buy again.,2024-05-16T21:45:06.758315474
REV-000110,ORD-000213,PROD-009,CUST-0049,5,Absolutely love it! Fast shipping too.,2024-01-22T07:11:44.874926295
REV-000111,ORD-000214,PROD-002,CUST-0065,5,Excellent product! Highly recommend.,2024-05-01T19:03:12.213009540
REV-000112,ORD-000215,PROD-008,CUST-0290,5,Five stars — nothing to complain about.,2024-12-26T03:56:31.195416275
REV-000113,ORD-000216,PROD-035,CUST-0280,5,Exceeded my expectations. Will buy again.,2024-07-03T13:43:29.592929947
REV-000114,ORD-000218,PROD-018,CUST-0152,3,Average quality. Does the job.,2024-03-02T14:36:57.746898465
REV-000115,ORD-000219,PROD-047,CUST-0295,5,Absolutely love it! Fast shipping too.,2024-10-11T03:17:57.040691940
REV-000116,ORD-000224,PROD-036,CUST-0152,4,Great value for money.,2024-03-05T21:09:47.590086364
REV-000117,ORD-000227,PROD-088,CUST-0139,3,"Okay for the price, not exceptional.",2025-05-20T00:37:31.782698655
REV-000118,ORD-000228,PROD-004,CUST-0135,5,Excellent product! Highly recommend.,2023-05-10T14:40:29.590856651
REV-000119,ORD-000230,PROD-037,CUST-0060,5,Excellent product! Highly recommend.,2024-01-23T03:27:49.505177815
REV-000120,ORD-000231,PROD-025,CUST-0293,4,Would recommend to others.,2023-08-21T10:41:10.297034352
REV-000121,ORD-000234,PROD-032,CUST-0062,1,Complete waste of money.,2024-05-01T16:54:48.581402843
REV-000122,ORD-000236,PROD-077,CUST-0164,5,Exceeded my expectations. Will buy again.,2023-10-24T14:11:09.131175168
REV-000123,ORD-000238,PROD-001,CUST-0274,5,Exceeded my expectations. Will buy again.,2023-04-25T16:53:44.539560069
REV-000124,ORD-000239,PROD-095,CUST-0251,5,Excellent product! Highly recommend.,2025-04-14T02:53:23.721066462
REV-000125,ORD-000240,PROD-093,CUST-0021,1,Complete waste of money.,2025-04-13T19:46:00.180965557
REV-000126,ORD-000244,PROD-064,CUST-0060,5,Perfect quality for the price.,2023-04-16T17:29:59.916568387
REV-000127,ORD-000246,PROD-050,CUST-0186,2,Expected better for this price.,2025-01-15T00:30:55.812966923
REV-000128,ORD-000247,PROD-049,CUST-0039,4,Great value for money.,2025-04-01T19:37:24.578730150
REV-000129,ORD-000248,PROD-093,CUST-0117,5,Absolutely love it! Fast shipping too.,2024-05-19T07:49:06.376380884
REV-000130,ORD-000249,PROD-037,CUST-0292,4,"Solid product, minor packaging issue.",2024-02-17T07:12:16.920753040
REV-000131,ORD-000251,PROD-082,CUST-0109,4,Happy with the purchase overall.,2023-07-02T14:45:25.910021506
REV-000132,ORD-000252,PROD-034,CUST-0218,5,Five stars — nothing to complain about.,2023-04-05T14:24:42.983826288
REV-000133,ORD-000255,PROD-066,CUST-0062,5,Exceeded my expectations. Will buy again.,2023-09-14T19:51:26.394333973
REV-000134,ORD-000257,PROD-083,CUST-0294,5,Excellent product! Highly recommend.,2023-03-03T02:21:41.608862336
REV-000135,ORD-000258,PROD-036,CUST-0107,4,Great value for money.,2023-05-22T07:48:35.049176108
REV-000136,ORD-000262,PROD-066,CUST-0196,5,Perfect quality for the price.,2025-02-19T21:46:19.692936710
REV-000137,ORD-000265,PROD-035,CUST-0114,2,Would not buy again.,2023-11-09T03:07:41.064516377
REV-000138,ORD-000266,PROD-090,CUST-0127,5,Perfect quality for the price.,2023-06-19T00:46:14.040161031
REV-000139,ORD-000267,PROD-061,CUST-0196,4,Would recommend to others.,2023-06-26T20:35:25.366596266
REV-000140,ORD-000272,PROD-057,CUST-0084,4,Great value for money.,2025-05-31T15:53:19.929549735
REV-000141,ORD-000273,PROD-058,CUST-0144,5,Absolutely love it! Fast shipping too.,2025-04-19T17:05:28.700609232
REV-000142,ORD-000274,PROD-034,CUST-0221,4,"Solid product, minor packaging issue.",2024-06-18T12:09:24.214481200
REV-000143,ORD-000280,PROD-061,CUST-0232,3,Meets basic expectations.,2024-08-05T03:07:15.813935182
REV-000144,ORD-000283,PROD-015,CUST-0244,5,Excellent product! Highly recommend.,2023-11-26T13:25:41.865717467
REV-000145,ORD-000284,PROD-020,CUST-0147,3,Average quality. Does the job.,2024-02-11T17:48:17.028471367
REV-000146,ORD-000285,PROD-093,CUST-0224,5,Exceeded my expectations. Will buy again.,2023-11-28T22:33:34.627749560
REV-000147,ORD-000286,PROD-075,CUST-0113,4,Happy with the purchase overall.,2024-07-11T15:44:56.128773115
REV-000148,ORD-000287,PROD-034,CUST-0269,4,Great value for money.,2024-10-19T12:00:13.881232044
REV-000149,ORD-000290,PROD-096,CUST-0057,4,Happy with the purchase overall.,2025-03-19T03:45:12.773282702
REV-000150,ORD-000293,PROD-014,CUST-0083,3,Decent product but room for improvement.,2023-08-16T03:21:57.919406106
REV-000151,ORD-000294,PROD-021,CUST-0213,5,Exceeded my expectations. Will buy again.,2024-05-24T05:57:47.745774932
REV-000152,ORD-000298,PROD-044,CUST-0102,5,Excellent product! Highly recommend.,2023-11-28T04:07:44.435574372
REV-000153,ORD-000299,PROD-014,CUST-0141,4,Happy with the purchase overall.,2023-11-17T11:26:46.314112103
REV-000154,ORD-000301,PROD-033,CUST-0082,5,Exceeded my expectations. Will buy again.,2023-12-05T16:04:03.302503892
REV-000155,ORD-000304,PROD-098,CUST-0110,4,"Solid product, minor packaging issue.",2024-04-03T01:51:10.346706152
REV-000156,ORD-000305,PROD-095,CUST-0261,5,Excellent product! Highly recommend.,2024-08-03T17:22:16.033914122
REV-000157,ORD-000306,PROD-058,CUST-0133,5,Perfect quality for the price.,2025-03-08T01:48:36.778439594
REV-000158,ORD-000312,PROD-036,CUST-0021,4,"Good quality, works as described.",2025-02-07T04:58:12.189550469
REV-000159,ORD-000313,PROD-002,CUST-0262,1,Complete waste of money.,2023-05-09T08:42:28.384657825
REV-000160,ORD-000315,PROD-074,CUST-0182,4,Happy with the purchase overall.,2024-08-06T07:24:40.474862796
REV-000161,ORD-000316,PROD-002,CUST-0299,4,"Good quality, works as described.",2024-05-19T09:41:04.436881616
REV-000162,ORD-000321,PROD-059,CUST-0080,5,Perfect quality for the price.,2025-04-01T15:45:59.776607507
REV-000163,ORD-000322,PROD-093,CUST-0090,4,Great value for money.,2024-09-12T13:12:43.860353673
REV-000164,ORD-000326,PROD-072,CUST-0183,5,Five stars — nothing to complain about.,2024-12-07T05:10:36.093158138
REV-000165,ORD-000330,PROD-035,CUST-0219,4,Would recommend to others.,2025-01-08T09:57:49.267528479
REV-000166,ORD-000331,PROD-039,CUST-0119,5,Perfect quality for the price.,2023-11-09T03:11:56.263097456
REV-000167,ORD-000332,PROD-027,CUST-0071,5,Five stars — nothing to complain about.,2023-07-06T07:44:45.712440909
REV-000168,ORD-000334,PROD-058,CUST-0158,5,Five stars — nothing to complain about.,2024-07-31T23:13:38.209865201
REV-000169,ORD-000335,PROD-020,CUST-0295,5,Perfect quality for the price.,2023-06-17T09:59:56.008780993
REV-000170,ORD-000337,PROD-039,CUST-0219,5,Five stars — nothing to complain about.,2023-04-04T16:17:29.987757182
REV-000171,ORD-000338,PROD-084,CUST-0125,2,Expected better for this price.,2024-02-19T17:52:46.056914629
REV-000172,ORD-000341,PROD-027,CUST-0241,4,Happy with the purchase overall.,2024-08-10T08:44:54.996504098
REV-000173,ORD-000342,PROD-027,CUST-0036,5,Excellent product! Highly recommend.,2023-09-07T17:18:20.892901063
REV-000174,ORD-000344,PROD-060,CUST-0121,5,Exceeded my expectations. Will buy again.,2025-02-07T08:52:12.488200069
REV-000175,ORD-000346,PROD-046,CUST-0131,5,Perfect quality for the price.,2024-12-04T09:44:53.661993712
REV-000176,ORD-000349,PROD-035,CUST-0261,5,Excellent product! Highly recommend.,2024-05-02T11:50:35.372771861
REV-000177,ORD-000351,PROD-069,CUST-0235,5,Absolutely love it! Fast shipping too.,2023-06-08T07:55:54.070658187
REV-000178,ORD-000355,PROD-091,CUST-0036,5,Absolutely love it! Fast shipping too.,2025-05-30T03:56:15.999101167
